name,value,color,ind_list
Oxford,2,#c6e3a7,Transportation
UW,10,#c6e3a7,Transportation
UCLA,7,#c6e3a7,Transportation
NU,3,#c6e3a7,Transportation
Cambridge,2,#c6e3a7,Transportation
NYU,4,#c6e3a7,Transportation
USC,5,#c6e3a7,Transportation
UIUC,6,#c6e3a7,Transportation
Tel Aviv,5,#c6e3a7,Transportation
UT Austin,6,#c6e3a7,Transportation
